time,scenario,phase,info,cas_shrinkTF,cas_sqzCount,h4_stage,h4_diffBBW,h4_mid,h4_bbupdn,trade_event,h4_sqz,h4_fly,h4_shrink
01.30 16:00,G2,PH_4,G2 — H2 opposite D1,-1,0,422,36.24,2,0,,True,False,False
01.30 20:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",-1,0,521,150.89,2,1,,False,True,False
02.02 04:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",5,0,521,199.27,2,1,,False,True,False
02.02 08:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",5,0,521,307.01,2,1,,False,True,False
02.02 12:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",5,0,521,140.56,2,1,,False,True,False
02.02 16:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",5,0,521,118.78,2,0,,False,True,False
02.02 20:00,A2,PH_1,"A2 — H4 fly, D1 not aligned",5,0,522,115.86,2,4,,False,True,False
02.03 04:00,B3,PH_3B_INTO,B3 — H1 shrink,5,0,522,-7.33,2,4,,False,True,False
02.03 08:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,522,-99.0,2,4,,False,True,False
02.03 12:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,523,-167.58,2,2,,False,False,True
02.03 16:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,523,-214.85,2,2,,False,False,True
02.03 20:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,523,-247.17,2,2,,False,False,True
02.03 22:45,E4,PH_3B_INTO,E4 — HTF compressing,5,0,523,-247.17,2,2,CLOSE SELL P&L:194.4,False,False,True
02.03 22:45,E4,PH_3B_INTO,E4 — HTF compressing,5,0,523,-247.17,2,2,OPEN BUY,False,False,True
02.04 04:00,E4,PH_3B_INTO,E4 — HTF compressing,4,1,523,-177.25,2,2,,False,False,True
02.04 08:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,523,-216.57,2,2,,False,False,True
02.04 12:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,523,-99.14,2,2,,False,False,True
02.04 16:00,E4,PH_3A,E4 — HTF compressing,4,0,523,-9.19,3,2,,False,False,True
02.04 20:00,E4,PH_3A,E4 — HTF compressing,4,1,523,-58.95,3,2,,False,False,True
02.05 04:00,E4,PH_2,E4 — HTF compressing,4,0,523,10.73,1,0,,False,False,True
02.05 08:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-23.11,1,3,,False,False,True
02.05 11:15,E4,PH_3B_INTO,E4 — HTF compressing,4,1,513,-23.11,1,3,CLOSE BUY P&L:-88.64,False,False,True
02.05 11:15,E4,PH_3B_INTO,E4 — HTF compressing,4,1,513,-23.11,1,3,OPEN SELL,False,False,True
02.05 12:00,E4,PH_3B_INTO,E4 — HTF compressing,4,1,513,-84.46,1,0,,False,False,True
02.05 16:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-164.97,1,2,,False,False,True
02.05 20:00,E4,PH_3B_INTO,E4 — HTF compressing,4,0,513,-46.99,1,2,,False,False,True
02.06 04:00,E4,PH_3B_INTO,E4 — HTF compressing,5,0,513,-78.65,1,2,,False,False,True
02.06 08:00,E4,PH_3B_INTO,E4 — HTF compressing,5,2,513,-49.6,1,2,,False,False,True
